date,time,magnitude,institution,entity,station_key,station_name,peak_ground_acceleration,quality,file,epicentral_distance,soil_type,depth,earthquake_latitude,earthquake_longitude,location_reference,station_latitude,station_longitude,duration,incidence_angle,hypocentral_distance,azimuth,angle_to_the_nearest_horizontal_sensor,calculated_epicentral_distance,calculated_hypocentral_distance,calculated_incidence_angle,source_off_shore,calculated_azimuth
2018-02-16,23:39:39,7.2,I de I-UNAM,GRO,SLU2,SAN LUIS DE LA LOMA 2,2.94,A,SLU21802.161,333,roca,16.0,16.218,-98.0135,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",17.280802,-100.935496,133.0,2.7508347958812327,333.384162791216,109.98757454292524,21.215505847653148,333.0151886390548,333.39933392900656,2.7507095245237214,False,-68.90139155721339
2018-02-16,23:39:39,7.2,I de I-UNAM,OAX,SMLC,SAN MARTIN LOS CANSECO,23.38,A,SMLC1802.161,145,roca,16.0,16.218,-98.0135,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",16.654971,-96.729233,210.0,6.296818718984405,145.8800877433243,251.20916193484203,19.71285975402509,145.4324467382035,146.30993323852076,6.278244719874782,False,70.39845668699441
2018-02-16,23:39:39,7.2,I de I-UNAM,MIC,SNJE,SAN JERONIMO,3.51,A,SNJE1802.161,435,roca,16.0,16.218,-98.0135,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",18.535047,-101.323693,157.0,2.106481369468933,435.29415341812256,124.99099675384588,36.74308573419224,435.2949244522106,435.58887870772793,2.105055454003043,False,-53.42394639558228
2018-02-16,23:39:39,7.2,I de I-UNAM,VER,SODO,SOLEDAD DE DOBLADO,8.76,A,SODO1802.161,355,aluvial,16.0,16.218,-98.0135,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",19.044324,-96.414773,270.0,2.5805985773886686,355.36038045904894,209.49492929005305,28.09020922648073,355.8451601943375,356.2046855864388,2.5744777093566995,False,28.23645495600462
2018-02-16,23:39:39,7.2,I de I-UNAM,GRO,SUCH,EL SUCHIL,4.41,A,SUCH1802.161,301,roca,16.0,16.218,-98.0135,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",17.226169,-100.638345,138.0,3.042759138509578,301.4249491996308,111.01113647931368,22.227068862579543,301.32713217697705,301.75162068496235,3.0394620009145794,False,-67.89463920927476
2018-02-16,23:39:39,7.2,I de I-UNAM,PUE,SXPU,SISMEX PUEBLA,16.18,A,SXPU1802.161,313,travertino,16.0,16.218,-98.0135,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",19.039943,-98.215087,185.0,2.9263106260922105,313.4086788842964,175.9139864227476,3.864591524257583,313.0540713498629,313.4626797383144,2.9258060659202574,False,-3.888349819142803
2018-02-16,23:39:39,7.2,I de I-UNAM,DIF,TACY,TACUBAYA,8.71,B,TACY1802.161,374,suelo duro,16.0,16.218,-98.0135,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",19.404505,-99.195246,217.0,2.4496626201270426,374.34208953843273,159.65221710469626,19.269457275786657,374.2626081513103,374.604457875532,2.447945861588729,False,-19.379220281054643
2018-02-16,23:39:39,7.2,I de I-UNAM,GRO,TEAC,TEACALCO,7.97,A,TEAC1802.161,306,roca,16.0,16.218,-98.0135,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",18.61763,-99.454086,208.0,2.993132005979067,306.41801513618617,149.02205987421337,29.59193779512636,306.5177861096764,306.9350960733838,2.98808501921001,False,-29.743293993607608
2018-02-16,23:39:39,7.2,I de I-UNAM,MEX,TEJU,TEJUPILCO,4.05,A,TEJU1802.161,374,roca,16.0,16.218,-98.0135,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",18.904051,-100.159615,128.0,2.4496626201270426,374.34208953843273,141.37566275151767,36.9801866120193,374.5313970524536,374.873001665981,2.4461911859683254,False,-37.14895406969745
2018-02-16,23:39:39,7.2,I de I-UNAM,CHP,TGBT,TUXTLA GUTIERREZ CBTIS 144,2.7,A,TGBT1802.161,529,roca,16.0,16.218,-98.0135,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",16.776805,-93.089492,131.0,1.732425485199749,529.2419106609,263.5254429856316,7.445429460706563,529.3235787287083,529.5653415756803,1.7313670877207985,False,82.59575156599523
